species	method	k	threads	hostname	cputime	mem
bombyx	bc	11	1	compute-a-16-105.o2.rc.hms.harvard.edu	653.97	3435104
bombyx	bc	12	1	compute-e-16-187.o2.rc.hms.harvard.edu	1008.29	3144980
bombyx	bc	13	1	compute-e-16-188.o2.rc.hms.harvard.edu	2096.09	2980404
bombyx	bc	14	1	compute-e-16-189.o2.rc.hms.harvard.edu	5120.0	5526744
bombyx	bc	15	1	compute-e-16-187.o2.rc.hms.harvard.edu	8578.0	9934684
bombyx	bc	16	1	compute-f-17-11.o2.rc.hms.harvard.edu	10538.0	13588440
bombyx	bc	17	1	compute-a-16-87.o2.rc.hms.harvard.edu	10646.0	15962668
bombyx	bc	18	1	compute-e-16-185.o2.rc.hms.harvard.edu	8683.0	17338600
bombyx	bc	19	1	compute-e-16-187.o2.rc.hms.harvard.edu	9151.0	18114148
bombyx	bc	20	1	compute-e-16-239.o2.rc.hms.harvard.edu	8950.0	18584412
bombyx	bc	21	1	compute-a-16-60.o2.rc.hms.harvard.edu	9068.0	18907852
bombyx	bc	22	1	compute-e-16-182.o2.rc.hms.harvard.edu	8519.0	19161304
bombyx	bc	23	1	compute-a-16-58.o2.rc.hms.harvard.edu	9217.0	19379932
bombyx	bc	24	1	compute-e-16-187.o2.rc.hms.harvard.edu	8666.0	19578248
bombyx	bc	25	1	compute-e-16-188.o2.rc.hms.harvard.edu	7996.0	19761804
bombyx	bc	26	1	compute-e-16-182.o2.rc.hms.harvard.edu	8244.0	19936072
bombyx	bc	27	1	compute-a-16-53.o2.rc.hms.harvard.edu	9515.0	20102172
bombyx	bc	28	1	compute-e-16-184.o2.rc.hms.harvard.edu	8542.0	20260388
bombyx	bc	29	1	compute-e-16-181.o2.rc.hms.harvard.edu	8166.0	20414348
bombyx	bc	30	1	compute-e-16-241.o2.rc.hms.harvard.edu	8835.0	20560796
bombyx	bc	31	1	compute-f-17-13.o2.rc.hms.harvard.edu	9297.0	20700976
bombyx	bc	32	1	compute-e-16-187.o2.rc.hms.harvard.edu	15653.0	26034892
bombyx	bc	11	4	compute-a-16-118.o2.rc.hms.harvard.edu	473.29	3042932
bombyx	bc	12	4	compute-a-16-136.o2.rc.hms.harvard.edu	742.27	2724616
bombyx	bc	13	4	compute-a-16-151.o2.rc.hms.harvard.edu	1768.72	2530868
bombyx	bc	14	4	compute-f-17-12.o2.rc.hms.harvard.edu	3933.0	3269684
bombyx	bc	15	4	compute-e-16-183.o2.rc.hms.harvard.edu	5083.0	3734520
bombyx	bc	16	4	compute-e-16-191.o2.rc.hms.harvard.edu	5107.0	4558828
bombyx	bc	17	4	compute-e-16-185.o2.rc.hms.harvard.edu	4507.0	4912132
bombyx	bc	18	4	compute-a-16-99.o2.rc.hms.harvard.edu	4498.0	4971132
bombyx	bc	19	4	compute-e-16-181.o2.rc.hms.harvard.edu	3366.38	4393380
bombyx	bc	20	4	compute-a-16-80.o2.rc.hms.harvard.edu	4596.0	4174820
bombyx	bc	21	4	compute-f-17-11.o2.rc.hms.harvard.edu	3333.58	4701148
bombyx	bc	22	4	compute-e-16-189.o2.rc.hms.harvard.edu	2956.17	5707380
bombyx	bc	23	4	compute-a-17-104.o2.rc.hms.harvard.edu	3013.51	4976188
bombyx	bc	24	4	compute-a-17-123.o2.rc.hms.harvard.edu	3261.14	4754628
bombyx	bc	25	4	compute-f-17-15.o2.rc.hms.harvard.edu	2891.27	5753248
bombyx	bc	26	4	compute-a-16-134.o2.rc.hms.harvard.edu	3125.03	5307780
bombyx	bc	27	4	compute-e-16-185.o2.rc.hms.harvard.edu	2634.9	5097220
bombyx	bc	28	4	compute-a-17-63.o2.rc.hms.harvard.edu	3152.37	5237648
bombyx	bc	29	4	compute-e-16-183.o2.rc.hms.harvard.edu	2798.95	5377692
bombyx	bc	30	4	compute-a-17-76.o2.rc.hms.harvard.edu	3264.53	5060356
bombyx	bc	31	4	compute-e-16-181.o2.rc.hms.harvard.edu	2663.66	5216424
bombyx	bc	32	4	compute-a-17-63.o2.rc.hms.harvard.edu	5457.0	6846484
bombyx	pa	11	1	compute-a-16-123.o2.rc.hms.harvard.edu	136.99	106208
bombyx	pa	12	1	compute-e-16-189.o2.rc.hms.harvard.edu	171.52	356532
bombyx	pa	13	1	compute-a-16-145.o2.rc.hms.harvard.edu	211.54	1304328
bombyx	pa	14	1	compute-e-16-181.o2.rc.hms.harvard.edu	238.18	4085764
bombyx	pa	15	1	compute-e-16-242.o2.rc.hms.harvard.edu	346.93	8279008
bombyx	pa	16	1	compute-e-16-186.o2.rc.hms.harvard.edu	427.23	9164032
bombyx	pa	17	1	compute-e-16-192.o2.rc.hms.harvard.edu	430.35	10352696
bombyx	pa	18	1	compute-a-17-76.o2.rc.hms.harvard.edu	663.5	11039756
bombyx	pa	19	1	compute-a-16-111.o2.rc.hms.harvard.edu	523.78	11427568
bombyx	pa	20	1	compute-a-16-111.o2.rc.hms.harvard.edu	563.47	11662508
bombyx	pa	21	1	compute-e-16-243.o2.rc.hms.harvard.edu	606.82	11824300
bombyx	pa	22	1	compute-e-16-241.o2.rc.hms.harvard.edu	503.05	11951108
bombyx	pa	23	1	compute-a-17-106.o2.rc.hms.harvard.edu	693.89	16794348
bombyx	pa	24	1	compute-e-16-186.o2.rc.hms.harvard.edu	542.17	16794548
bombyx	pa	25	1	compute-e-16-241.o2.rc.hms.harvard.edu	568.31	16794016
bombyx	pa	26	1	compute-a-17-127.o2.rc.hms.harvard.edu	586.6	16793996
bombyx	pa	27	1	compute-a-16-137.o2.rc.hms.harvard.edu	680.82	16794020
bombyx	pa	28	1	compute-a-16-97.o2.rc.hms.harvard.edu	769.44	16794004
bombyx	pa	29	1	compute-e-16-188.o2.rc.hms.harvard.edu	597.03	16794016
bombyx	pa	30	1	compute-a-16-162.o2.rc.hms.harvard.edu	844.0	16794012
bombyx	pa	31	1	compute-a-16-151.o2.rc.hms.harvard.edu	666.49	16794020
bombyx	pa	32	1	compute-a-17-106.o2.rc.hms.harvard.edu	676.32	16794416
celegan	bc	11	1	compute-e-16-190.o2.rc.hms.harvard.edu	225.05	1087528
celegan	bc	12	1	compute-e-16-240.o2.rc.hms.harvard.edu	609.13	1085156
celegan	bc	13	1	compute-f-17-15.o2.rc.hms.harvard.edu	1530.48	1434284
celegan	bc	14	1	compute-e-16-186.o2.rc.hms.harvard.edu	2277.88	2688500
celegan	bc	15	1	compute-a-16-63.o2.rc.hms.harvard.edu	3035.24	3852880
celegan	bc	16	1	compute-f-17-12.o2.rc.hms.harvard.edu	3084.71	4672576
celegan	bc	17	1	compute-e-16-189.o2.rc.hms.harvard.edu	2789.83	5173168
celegan	bc	18	1	compute-f-17-16.o2.rc.hms.harvard.edu	2720.02	5460508
celegan	bc	19	1	compute-e-16-193.o2.rc.hms.harvard.edu	2683.17	5621972
celegan	bc	20	1	compute-f-17-13.o2.rc.hms.harvard.edu	2572.78	5714596
celegan	bc	21	1	compute-e-16-184.o2.rc.hms.harvard.edu	2344.81	5770852
celegan	bc	22	1	compute-e-16-238.o2.rc.hms.harvard.edu	2417.44	5806848
celegan	bc	23	1	compute-f-17-13.o2.rc.hms.harvard.edu	2462.84	5831984
celegan	bc	24	1	compute-e-16-240.o2.rc.hms.harvard.edu	2347.95	5854000
celegan	bc	25	1	compute-e-16-183.o2.rc.hms.harvard.edu	2340.82	5870316
celegan	bc	26	1	compute-e-16-183.o2.rc.hms.harvard.edu	2258.11	5885668
celegan	bc	27	1	compute-e-16-239.o2.rc.hms.harvard.edu	2395.47	5899380
celegan	bc	28	1	compute-e-16-185.o2.rc.hms.harvard.edu	2166.3	5912024
celegan	bc	29	1	compute-e-16-240.o2.rc.hms.harvard.edu	2348.97	5922432
celegan	bc	30	1	compute-f-17-16.o2.rc.hms.harvard.edu	2273.37	5932516
celegan	bc	31	1	compute-a-16-44.o2.rc.hms.harvard.edu	2452.02	5944568
celegan	bc	32	1	compute-f-17-16.o2.rc.hms.harvard.edu	3983.0	7421692
celegan	bc	11	4	compute-e-16-241.o2.rc.hms.harvard.edu	173.79	1305356
celegan	bc	12	4	compute-e-16-190.o2.rc.hms.harvard.edu	415.74	794824
celegan	bc	13	4	compute-f-17-12.o2.rc.hms.harvard.edu	966.27	1317384
celegan	bc	14	4	compute-e-16-182.o2.rc.hms.harvard.edu	1430.54	1368916
celegan	bc	15	4	compute-f-17-13.o2.rc.hms.harvard.edu	1813.41	1413192
celegan	bc	16	4	compute-f-17-15.o2.rc.hms.harvard.edu	1544.95	1692140
celegan	bc	17	4	compute-a-16-77.o2.rc.hms.harvard.edu	1396.27	1395920
celegan	bc	18	4	compute-f-17-14.o2.rc.hms.harvard.edu	1138.9	1644068
celegan	bc	19	4	compute-e-16-185.o2.rc.hms.harvard.edu	902.81	1666672
celegan	bc	20	4	compute-a-16-142.o2.rc.hms.harvard.edu	1022.44	1556312
celegan	bc	21	4	compute-a-16-59.o2.rc.hms.harvard.edu	908.75	1373808
celegan	bc	22	4	compute-e-16-192.o2.rc.hms.harvard.edu	759.49	1592440
celegan	bc	23	4	compute-e-16-187.o2.rc.hms.harvard.edu	874.5	1478552
celegan	bc	24	4	compute-e-16-239.o2.rc.hms.harvard.edu	777.37	1589052
celegan	bc	25	4	compute-a-17-85.o2.rc.hms.harvard.edu	935.67	1442120
celegan	bc	26	4	compute-e-16-182.o2.rc.hms.harvard.edu	793.15	1748144
celegan	bc	27	4	compute-a-16-59.o2.rc.hms.harvard.edu	817.54	1419236
celegan	bc	28	4	compute-e-16-188.o2.rc.hms.harvard.edu	680.14	1644680
celegan	bc	29	4	compute-a-16-59.o2.rc.hms.harvard.edu	812.72	1433200
celegan	bc	30	4	compute-f-17-11.o2.rc.hms.harvard.edu	773.76	1701392
celegan	bc	31	4	compute-e-16-240.o2.rc.hms.harvard.edu	739.25	1692056
celegan	bc	32	4	compute-e-16-185.o2.rc.hms.harvard.edu	1208.92	1905092
celegan	pa	11	1	compute-a-17-76.o2.rc.hms.harvard.edu	38.9	105976
celegan	pa	12	1	compute-a-16-111.o2.rc.hms.harvard.edu	38.93	338612
celegan	pa	13	1	compute-a-16-145.o2.rc.hms.harvard.edu	78.09	1009072
celegan	pa	14	1	compute-e-16-242.o2.rc.hms.harvard.edu	77.0	2027380
celegan	pa	15	1	compute-a-16-79.o2.rc.hms.harvard.edu	124.83	2497712
celegan	pa	16	1	compute-a-16-171.o2.rc.hms.harvard.edu	121.79	2906644
celegan	pa	17	1	compute-e-16-240.o2.rc.hms.harvard.edu	184.88	4090356
celegan	pa	18	1	compute-e-16-180.o2.rc.hms.harvard.edu	111.36	4091944
celegan	pa	19	1	compute-a-16-129.o2.rc.hms.harvard.edu	149.96	4091684
celegan	pa	20	1	compute-a-16-151.o2.rc.hms.harvard.edu	139.78	4091140
celegan	pa	21	1	compute-e-16-181.o2.rc.hms.harvard.edu	129.91	4091420
celegan	pa	22	1	compute-a-16-104.o2.rc.hms.harvard.edu	495.48	4092316
celegan	pa	23	1	compute-f-17-16.o2.rc.hms.harvard.edu	152.57999999999998	4091076
celegan	pa	24	1	compute-e-16-185.o2.rc.hms.harvard.edu	146.37	4092896
celegan	pa	25	1	compute-a-17-75.o2.rc.hms.harvard.edu	159.69	4101584
celegan	pa	26	1	compute-e-16-188.o2.rc.hms.harvard.edu	186.38	4109196
celegan	pa	27	1	compute-a-16-151.o2.rc.hms.harvard.edu	156.43	4116020
celegan	pa	28	1	compute-e-16-188.o2.rc.hms.harvard.edu	147.28	4122212
celegan	pa	29	1	compute-e-16-242.o2.rc.hms.harvard.edu	134.64	4127916
celegan	pa	30	1	compute-e-16-239.o2.rc.hms.harvard.edu	161.05	4133200
celegan	pa	31	1	compute-a-17-127.o2.rc.hms.harvard.edu	158.36	4138096
celegan	pa	32	1	compute-f-17-09.o2.rc.hms.harvard.edu	147.37	4142688
ecoli	bc	11	1	compute-e-16-185.o2.rc.hms.harvard.edu	110.4	1140488
ecoli	bc	12	1	compute-e-16-189.o2.rc.hms.harvard.edu	169.02	1110792
ecoli	bc	13	1	compute-e-16-180.o2.rc.hms.harvard.edu	177.79	1102320
ecoli	bc	14	1	compute-e-16-186.o2.rc.hms.harvard.edu	162.98	1115808
ecoli	bc	15	1	compute-e-16-187.o2.rc.hms.harvard.edu	134.55	1099884
ecoli	bc	16	1	compute-e-16-240.o2.rc.hms.harvard.edu	126.25	1094804
ecoli	bc	17	1	compute-e-16-238.o2.rc.hms.harvard.edu	126.04	1088868
ecoli	bc	18	1	compute-e-16-238.o2.rc.hms.harvard.edu	116.89	1055596
ecoli	bc	19	1	compute-f-17-16.o2.rc.hms.harvard.edu	120.64	875176
ecoli	bc	20	1	compute-e-16-239.o2.rc.hms.harvard.edu	116.62	783700
ecoli	bc	21	1	compute-e-16-182.o2.rc.hms.harvard.edu	102.13	596836
ecoli	bc	22	1	compute-f-17-15.o2.rc.hms.harvard.edu	128.83	581348
ecoli	bc	23	1	compute-e-16-184.o2.rc.hms.harvard.edu	113.00999999999999	538324
ecoli	bc	24	1	compute-e-16-239.o2.rc.hms.harvard.edu	111.95	519524
ecoli	bc	25	1	compute-e-16-193.o2.rc.hms.harvard.edu	115.22	534632
ecoli	bc	26	1	compute-e-16-182.o2.rc.hms.harvard.edu	113.15	528576
ecoli	bc	27	1	compute-a-17-59.o2.rc.hms.harvard.edu	121.28	485684
ecoli	bc	28	1	compute-e-16-181.o2.rc.hms.harvard.edu	113.49000000000001	484564
ecoli	bc	29	1	compute-e-16-240.o2.rc.hms.harvard.edu	114.42	449416
ecoli	bc	30	1	compute-e-16-180.o2.rc.hms.harvard.edu	110.52000000000001	474780
ecoli	bc	31	1	compute-e-16-188.o2.rc.hms.harvard.edu	101.49000000000001	456432
ecoli	bc	32	1	compute-e-16-184.o2.rc.hms.harvard.edu	204.31	456972
ecoli	bc	11	4	compute-e-16-182.o2.rc.hms.harvard.edu	95.11	243836
ecoli	bc	12	4	compute-e-16-184.o2.rc.hms.harvard.edu	113.34	1145432
ecoli	bc	13	4	compute-f-17-15.o2.rc.hms.harvard.edu	113.81	1132232
ecoli	bc	14	4	compute-e-16-182.o2.rc.hms.harvard.edu	72.05	1152680
ecoli	bc	15	4	compute-e-16-182.o2.rc.hms.harvard.edu	57.18	1144660
ecoli	bc	16	4	compute-a-16-134.o2.rc.hms.harvard.edu	56.68	1156324
ecoli	bc	17	4	compute-e-16-190.o2.rc.hms.harvard.edu	81.12	233880
ecoli	bc	18	4	compute-f-17-14.o2.rc.hms.harvard.edu	50.96	1107176
ecoli	bc	19	4	compute-f-17-16.o2.rc.hms.harvard.edu	46.06	1005984
ecoli	bc	20	4	compute-e-16-241.o2.rc.hms.harvard.edu	47.26	796680
ecoli	bc	21	4	compute-e-16-188.o2.rc.hms.harvard.edu	42.11	736052
ecoli	bc	22	4	compute-f-17-16.o2.rc.hms.harvard.edu	43.56	619596
ecoli	bc	23	4	compute-e-16-189.o2.rc.hms.harvard.edu	42.12	579840
ecoli	bc	24	4	compute-e-16-182.o2.rc.hms.harvard.edu	74.43	243004
ecoli	bc	25	4	compute-e-16-187.o2.rc.hms.harvard.edu	56.48	559828
ecoli	bc	26	4	compute-e-16-190.o2.rc.hms.harvard.edu	61.92	226172
ecoli	bc	27	4	compute-e-16-187.o2.rc.hms.harvard.edu	46.25	539392
ecoli	bc	28	4	compute-a-17-121.o2.rc.hms.harvard.edu	48.61	469436
ecoli	bc	29	4	compute-a-16-132.o2.rc.hms.harvard.edu	44.48	339004
ecoli	bc	30	4	compute-a-16-59.o2.rc.hms.harvard.edu	46.61	478512
ecoli	bc	31	4	compute-e-16-180.o2.rc.hms.harvard.edu	44.4	496020
ecoli	bc	32	4	compute-e-16-187.o2.rc.hms.harvard.edu	68.83	480940
ecoli	pa	11	1	compute-e-16-180.o2.rc.hms.harvard.edu	2.62	87080
ecoli	pa	12	1	compute-e-16-181.o2.rc.hms.harvard.edu	4.43	148372
ecoli	pa	13	1	compute-a-17-138.o2.rc.hms.harvard.edu	6.3	179764
ecoli	pa	14	1	compute-f-17-15.o2.rc.hms.harvard.edu	5.28	193848
ecoli	pa	15	1	compute-e-16-185.o2.rc.hms.harvard.edu	6.19	247168
ecoli	pa	16	1	compute-e-16-185.o2.rc.hms.harvard.edu	6.31	247056
ecoli	pa	17	1	compute-a-16-111.o2.rc.hms.harvard.edu	5.6	245448
ecoli	pa	18	1	compute-e-16-188.o2.rc.hms.harvard.edu	5.91	245352
ecoli	pa	19	1	compute-a-17-68.o2.rc.hms.harvard.edu	5.7	245448
ecoli	pa	20	1	compute-e-16-185.o2.rc.hms.harvard.edu	5.64	247180
ecoli	pa	21	1	compute-e-16-184.o2.rc.hms.harvard.edu	6.52	245280
ecoli	pa	22	1	compute-e-16-193.o2.rc.hms.harvard.edu	5.54	247292
ecoli	pa	23	1	compute-e-16-180.o2.rc.hms.harvard.edu	5.08	245448
ecoli	pa	24	1	compute-f-17-13.o2.rc.hms.harvard.edu	5.24	245448
ecoli	pa	25	1	compute-e-16-180.o2.rc.hms.harvard.edu	6.57	245436
ecoli	pa	26	1	compute-f-17-12.o2.rc.hms.harvard.edu	6.09	245448
ecoli	pa	27	1	compute-e-16-242.o2.rc.hms.harvard.edu	6.09	245256
ecoli	pa	28	1	compute-e-16-186.o2.rc.hms.harvard.edu	7.34	245384
ecoli	pa	29	1	compute-e-16-193.o2.rc.hms.harvard.edu	6.1	246916
ecoli	pa	30	1	compute-a-17-68.o2.rc.hms.harvard.edu	6.46	245388
ecoli	pa	31	1	compute-f-17-12.o2.rc.hms.harvard.edu	6.23	245448
